Text,Location,Username
@thecliffbar @DaveStallard2 @Steve_Sailer @icecreamconean @jaimeights @mattyglesias Your quibbles do not explain the extraordinary of the black murder rate or the universal academic underperformance of black people of all socioeconomic levels.,,torinmccabe
"@Markrdam_ See that’s what happens when you stick your nose into black people’s business bc WE were talking about Americans. Hence, “we’re like 2 different countries.”",,goldfrontsnip
"Him &amp; his brother put a dead body on YouTube. After that during black lives matter I believe in Oregon they went to go start fires and loot. Why anybody is, especially  Black people, entertaining them... I don't know.",,QueenOfJewelz
"@VIclaireVI @squiddguy Im Niggatharians 5:12 it states ""Theres shall be no gay black people, that shit queer asf""",your mom's bedroom,AncomGay2
"@StevijoPayne @Smilan317 Lookahere, Mr. StevieJo, you can be ashamed of your ""people""....... I'm ashamed of shit Black people do, however, I'm never ashamed to be Black. Just remember...

#IStandWithNaomiOsaka
#StopKillingUs #BLM https://t.co/IYifupg3mI",,SaltiAssCracker
@Mediaite Most black people have the same mental health issue. Afraid to tell these supremacist to kiss your ass. Way to go Naomi!,,black_ados
"@tedlittle72 @TalbertSwan What makes you racists think Black people have to pray for &amp; love their enemies? 

You racists are sick. No Black person has to love anyone who hates them. FOH",,MobGlow
"BeverlyATL
#FACTS w all BLACK PEOPLE

WHITE MAN
@DRMIKEMURDOCK

HAILED AS
the only solomon
WISEST MAN in USA/AFRICA

#drMM
NEVER
confirmed/denied

RESEARCH
profiling of @pastoranasweet
OR other his leaders

I doubted
skill US GOVERNMENT lauded
assessed
Am USELESS WIFE
#drMM WORLD https://t.co/DtCfirEDnc",,TouchOFLoveMin
@radiocandied @chris_notcapn “Not the fucking KKK” is still not okay. It’s still problematic. You yourself are saying they didn’t admit Black people. The roots of the organization are very clearly steeped in white supremacy. And people have a right to be offended.,she/her,leebee4life
@BlackPeopleUni6 @MowzaProduction We have to do something about them to improve our neighborhoods so that black people that DO move up on the economic ladder don't feel the need to leave and bring their money to white communities.,"Harlem, NYC",TheodoreBFrazi1
@93nights @ArmyStrang It was organized by the rich white people in town and the veiled prophet looks suspiciously like a klansman. It was a way to prove how powerful they were to make the poor and black people stop striking,,rlev97
@f3zaziz @sayetaryor @johncag56621483 @DLMJ_LP @VigorLynx @Soulracmusic @HRap_B @samanthashon1 @bgreen5650 @UnhingedCrones @NW_StayDet @laurentzb The only time white people post this  meme is when they are repulsed by the notion of other white people making gestures of regret and apology to Black people. Your explanation of using it does nothing to veil your disgust.,New York City,MrChasebooth
@DelozierTonia @LaraOyedele @FOX17 It's no different than celebrities refusing to talk about their relationships marriage kids anything else personal so the media decides to make up things about them. This is bullying and it's racist they treat black people like crap 24/7 and white folks think it's okay it's not,,IkeepItRealDoU
"@AmericaInTheMi1 @JWRaidersLakers @AP Yes, an Afro-Latino, was afraid of being stopped by the cops. Considering the amount of black people that have been killed during detainment. His army experience has nothing to do with it. You sound delusional.",,l0sersayswhat
I love woke white people,Austin,hgradney
Putting the phone down now.  Bad takes from white people about racism is making me furious.,Canada,mambolica
"@MarleyK20 I just read the crap you wrote about how ""All White People Are Racist""? How are you allowed to get away with something like that? Unbelievable. Can you imagine if someone wrote something the reverse of that? You should be canceled.",,pissedoff71
"I believe tennis is still held in the minds of many white people that tennis is the sport and abode of white people and special white people at that. After all, the royals attend these games played in white, for whites. Yes, it's stupid and inappropriate but hey...... https://t.co/ddcAmASmkg","Los Angeles, CA",Mandelamen
@kaitlynxritson i’m white people,Mind ur fuckin business ,marshallbreezee
@jannejanne Ahhhh so the problem is how people use the phrases to invoke different responses and subtly differentiate between white people and everyone else?,"Newtown, Wellington City",grizzlybeere
"@Rootin_Teuton @80HD_Theatre The connection is ""rich white people are into both"" which is a valid connection but they do still remain distinct things.","Cincinnati, OH",AndrewMillerKY
@Channel9 I see white people.,Australia,brunsburg
"@jhudd2 @ABC That's not the issue? The issue is who killed these citizens. White people state. sanctioned killing. It was the sheriff who deputized these racist murders. As far as DEMS being the racist party, if you read history you will find that both parties evolved into what they are now.",,TeeLe1982
"@NextRevFNC @GOPLeader Translation: “In the @GOP, we pick white people. We picked a black guy back in 1870, so that exempts us from any charge of racism.”","Omaha, NE",barackhablamos
"@irweldor @103blinddog Is this a new way of helping indigenous people, give 1.3 million mainly white people the day off with pay?  Hope they don't try to help us seniors with this stunt.🤬","British Columbia, Canada",gemma_windsor
Having white people in your family means that you get text messages every time they meet a new Indian person or eat frybread,"Eureka, CA",ndnwomyn
"That’s why white people still don’t know what racism is, because they call it everything but racism to protect their feelings.",in my Feelings™,aheeohbee
@93nights @ArmyStrang It was organized by the rich white people in town and the veiled prophet looks suspiciously like a klansman. It was a way to prove how powerful they were to make the poor and black people stop striking,,rlev97
@f3zaziz @sayetaryor @johncag56621483 @DLMJ_LP @VigorLynx @Soulracmusic @HRap_B @samanthashon1 @bgreen5650 @UnhingedCrones @NW_StayDet @laurentzb The only time white people post this  meme is when they are repulsed by the notion of other white people making gestures of regret and apology to Black people. Your explanation of using it does nothing to veil your disgust.,New York City,MrChasebooth
White people really love themselves some mayonnaise,,rhyanaaerine
"Yeah, ha ha... white people... https://t.co/04yFrE17EH https://t.co/oXrRAMahDS","Cheverly, MD",SnizzyIzzy
The fact that she and David Brooks both have written columns for the NYT for years says a lot about the culture of white people failing upwards. https://t.co/fHlV5vNUhP,"St Louis, MO",showmeopie
"@WhippetMr @kay_peppett @FramingBlacknes @terrychristian @MissJodie Bigot: there have been no examples of white people portraying black characters, but black people want to come for our whiteness. 

Me: Gives examples 

Bigot: those don't count because I didn't know about them and how dare you prove me wrong",United States,sasha_author
"@chuffruffstuff Sleepy Joe doesn’t want white people with Scottish last names coming here ... you would be Trump voters and a threat to his handlers path of destruction ... (but I say invade us, via Maine, northern Maine Trump won the electoral votes by a landslide)",603 ,MGadsden1776
@DonLew87 “But what about white people?? They have it tough too”,Australia,TerryFabulous7
